the	/ðə/
venison	/ˈvɛnɪsən/
unbalanced	/ʌnˈbælənst/
mastectomy	/mæˈstɛktəmi/
tusk	/tʌsk/
olympian	/oʊˈlɪmpiən/
test-retest	/ˈtɛstˈriːˌtɛst/
institutionalization	/ˌɪnstɪˌtuːʃənələˈzeɪʃən/
hyperactivity	/ˌhaɪpərækˈtɪvɪti/
disclaimer	/dɪsˈkleɪmər/
falsehood	/ˈfɔlsˌhʊd/
condiment	/ˈkɑndɪmənt/
gunpowder	/ˈɡʌnˌpaʊdər/
reschedule	/ˌriːˈskɛdʒuːl/
feta	/ˈfɛtə/
fastener	/ˈfæsnər/
withholding	/wɪθˈhoʊldɪŋ/
loath	/loʊθ/
sunlit	/ˈsʌnˌlɪt/
eddy	/ˈɛdi/
banter	/ˈbæntər/
rapt	/ræpt/
illustrative	/ɪˈlʌstrətɪv/
peculiarly	/pɪˈkjuːliərli/
drive-by	/ˈdraɪvˌbaɪ/
impel	/ɪmˈpɛl/
operatic	/ˌɑpəˈrætɪk/
unsavory	/ʌnˈseɪvəri/
marginalized	/ˈmɑrdʒɪnəˌlaɪzd/
axiom	/ˈæksiəm/
centralize	/ˈsɛntrəˌlaɪz/
malt	/mɔlt/
parlance	/ˈpɑrləns/
amputate	/ˈæmpjəˌteɪt/
digger	/ˈdɪɡər/
madam	/ˈmædəm/
debatable	/dɪˈbeɪtəbəl/
intricately	/ˈɪntrɪkətli/
snowshoe	/ˈsnoʊˌʃuː/
jeez	/dʒiːz/
app	/æp/
disaffected	/ˌdɪsəˈfɛktɪd/
quid	/kwɪd/
supremely	/suːˈpriːmli/
officiate	/əˈfɪʃiˌeɪt/
anathema	/əˈnæθəmə/
uninterested	/ʌnˈɪntrəstɪd/
justly	/ˈdʒʌstli/
programmatic	/ˌproʊɡræˈmætɪk/
materialistic	/məˌtɪriəˈlɪstɪk/
inasmuch	/ˌɪnəzˈmʌtʃ/
sorcerer	/ˈsɔrsərər/
prohibited	/proʊˈhɪbɪtɪd/
discerning	/dɪˈsɜrnɪŋ/
psychedelic	/ˌsaɪkəˈdɛlɪk/
chisel	/ˈtʃɪzəl/
everlasting	/ˌɛvərˈlæstɪŋ/
tubular	/ˈtubjələr/
surreptitiously	/ˌsɜːrəpˈtɪʃəsli/
halibut	/ˈhælɪbət/
evaluative	/ɪˈvæljuˌeɪtɪv/
close-knit	/ˌkloʊsˈnɪt/
cannibalism	/ˈkænɪbəlɪzəm/
alchemy	/ˈælkəmi/
splitting	/ˈsplɪtɪŋ/
apostolic	/ˌæpəˈstɑːlɪk/
coy	/kɔɪ/
whereupon	/ˌwɛrəˈpɑːn/
unbutton	/ʌnˈbʌtn/
co-chairman	/ˌkoʊˈtʃɛrmən/
spilled	/spɪld/
implausible	/ɪmˈplɔːzəbl/
headboard	/ˈhɛdbɔːrd/
red-hot	/ˌrɛdˈhɑːt/
beau	/boʊ/
rile	/raɪl/
millisecond	/ˈmɪlɪˌsɛkənd/
grating	/ˈɡreɪtɪŋ/
sensuality	/ˌsɛnsjuˈælɪti/
tailback	/ˈteɪlbæk/
garish	/ˈɡɛərɪʃ/
chameleon	/kəˈmiːliən/
crosswise	/ˈkrɔːswaɪz/
distributed	/dɪˈstrɪbjətɪd/
pompous	/ˈpɑːmpəs/
drowsy	/ˈdraʊzi/
necktie	/ˈnɛktaɪ/
taper	/ˈteɪpər/
exasperate	/ɪɡˈzæspəˌreɪt/
knitting	/ˈnɪtɪŋ/
absolve	/əbˈzɑːlv/
washed	/wɑːʃt/
axial	/ˈæksiəl/
nullify	/ˈnʌlɪfaɪ/
crucify	/ˈkruːsɪfaɪ/
overheated	/ˌoʊvərˈhiːtɪd/
uterine	/ˈjuːtəraɪn/
wedlock	/ˈwɛdlɑːk/
didactic	/daɪˈdæktɪk/
docking	/ˈdɑːkɪŋ/
distil	/dɪˈstɪl/
caddie	/ˈkædi/
rafting	/ˈræftɪŋ/
co-host	/ˌkoʊˈhoʊst/
gendered	/ˈdʒɛndərd/
matinee	/ˌmætɪˈneɪ/
paratrooper	/ˈpærəˌtruːpər/
regrettably	/rɪˈɡrɛtəbli/
nape	/neɪp/
physiologist	/ˌfɪziˈɑːlədʒɪst/
gawk	/ɡɔːk/
kink	/kɪŋk/
eon	/ˈiːɑːn/
profusely	/prəˈfjuːsli/
gallant	/ˈɡælənt/
militiaman	/məˈlɪʃəmən/
decorum	/dɪˈkɔːrəm/
mathematically	/ˌmæθəˈmætɪkli/
hah	/hɑː/
snowboard	/ˈsnoʊbɔːrd/
importation	/ˌɪmpɔːrˈteɪʃən/
bowler	/ˈboʊlər/
shoddy	/ˈʃɑːdi/
radiance	/ˈreɪdiəns/
campaigning	/kæmˈpeɪnɪŋ/
brownstone	/ˈbraʊnstoʊn/
pursuer	/pərˈsuːər/
squabble	/ˈskwɑːbl/
liqueur	/lɪˈkɜːr/
unmatched	/ˌʌnˈmætʃt/
swordfish	/ˈsɔːrdfɪʃ/
dynamism	/ˈdaɪnəˌmɪzəm/
drug-related	/ˈdrʌɡˌrɪleɪtɪd/
unsustainable	/ˌʌnsəˈsteɪnəbl/
suffuse	/səˈfjuːz/
retard	/rɪˈtɑːrd/
ladle	/ˈleɪdl/
actuator	/ˈæktʃuˌeɪtər/
lawless	/ˈlɔːləs/
second-generation	/ˌsɛkəndˌdʒɛnəˈreɪʃən/
tuft	/tʌft/
firewall	/ˈfaɪərwɔːl/
gargantuan	/ɡɑːrˈɡæntʃuən/
first-generation	/ˌfɜːrstˌdʒɛnəˈreɪʃən/
amalgam	/əˈmælɡəm/
nominally	/ˈnɑːmənəli/
considerate	/kənˈsɪdərət/
hyperbole	/haɪˈpɜːrbəli/
checkered	/ˈtʃɛkərd/
thermos	/ˈθɜːrməs/
cognac	/ˈkɑːnjæk/
tumbler	/ˈtʌmblər/
velvety	/ˈvɛlvəti/
unconcerned	/ˌʌnkənˈsɜːrnd/
ebony	/ˈɛbəni/
mister	/ˈmɪstər/
inflexible	/ɪnˈflɛksəbl/
repentance	/rɪˈpɛntəns/
daffodil	/ˈdæfədɪl/
drawl	/drɔːl/
low-wage	/ˌloʊˈweɪdʒ/
fro	/froʊ/
ouster	/ˈaʊstər/
uplift	/ˌʌpˈlɪft/
desolation	/ˌdɛsəˈleɪʃən/
sheepishly	/ˈʃiːpɪʃli/
frailty	/ˈfreɪlti/
inaccuracy	/ɪnˈækjərəsi/
basal	/ˈbeɪsəl/
tribulation	/ˌtrɪbjəˈleɪʃən/
inwardly	/ˈɪnwərdli/
cystic	/ˈsɪstɪk/
subdivide	/ˌsʌbdɪˈvaɪd/
maestro	/ˈmaɪstroʊ/
ancillary	/ˈænsɪˌlɛri/
aghast	/əˈɡæst/
penicillin	/ˌpɛnɪˈsɪlɪn/
inquisitive	/ɪnˈkwɪzətɪv/
invisibility	/ˌɪnvɪzəˈbɪləti/
supremacist	/səˈprɛməsɪst/
unrecognized	/ˌʌnˈrɛkəɡnaɪzd/
spraying	/ˈspreɪɪŋ/
islander	/ˈaɪləndər/
mutilation	/ˌmjuːtɪˈleɪʃən/
ballgame	/ˈbɔːlɡeɪm/
chromium	/ˈkroʊmiəm/
constructivist	/kənˈstrʌktɪvɪst/
busted	/ˈbʌstɪd/
stilt	/stɪlt/
articulated	/ɑːrˈtɪkjəˌleɪtɪd/
dungeon	/ˈdʌndʒən/
balmy	/ˈbɑːmi/
hilt	/hɪlt/
allay	/əˈleɪ/
firecracker	/ˈfaɪərˌkrækər/
adhesive	/ədˈhiːsɪv/
criminally	/ˈkrɪmənəli/
spousal	/ˈspaʊzəl/
extravagance	/ɪkˈstrævəɡəns/
reminiscence	/ˌrɛmɪˈnɪsəns/
surly	/ˈsɜːrli/
cancerous	/ˈkænsərəs/
carmaker	/ˈkɑːrˌmeɪkər/
layup	/ˈleɪˌʌp/
abolitionist	/ˌæbəˈlɪʃənɪst/
harrowing	/ˈhæroʊɪŋ/
reticent	/ˈrɛtɪsənt/
gregarious	/ɡrɪˈɡɛriəs/
hour-long	/ˈaʊərˌlɔːŋ/
hulking	/ˈhʌlkɪŋ/
undiscovered	/ˌʌndɪˈskʌvərd/
automate	/ˈɔːtəˌmeɪt/
ramshackle	/ˈræmˌʃækl/
enmity	/ˈɛnmɪti/
theorem	/ˈθɪərəm/
maximal	/ˈmæksɪməl/
retainer	/rɪˈteɪnər/
preservative	/prɪˈzɜːrvətɪv/
wristwatch	/ˈrɪstwɑːtʃ/
outwardly	/ˈaʊtwərdli/
slain	/sleɪn/
reversible	/rɪˈvɜːrsəbl/
seeing	/ˈsiːɪŋ/
blackmail	/ˈblækmeɪl/
disinfectant	/ˌdɪsɪnˈfɛktənt/
assessor	/əˈsɛsər/
vilify	/ˈvɪlɪfaɪ/
co-pilot	/ˌkoʊˈpaɪlət/
floured	/ˈflaʊərd/
riverboat	/ˈrɪvərˌboʊt/
jurist	/ˈdʒʊrɪst/
claimant	/ˈkleɪmənt/
restlessness	/ˈrɛstlɪsnəs/
computer-based	/kəmˈpjuːtərˌbeɪst/
devotional	/dɪˈvoʊʃənəl/
overcast	/ˌoʊvərˈkæst/
cabaret	/ˌkæbəˈreɪ/
signifier	/ˈsɪɡnɪˌfaɪər/
stripped	/strɪpt/
fortitude	/ˈfɔːrtɪˌtjuːd/
scriptural	/ˈskrɪptʃərəl/
organically	/ɔːrˈɡænɪkli/
peptide	/ˈpɛptaɪd/
waistband	/ˈweɪstbænd/
alight	/əˈlaɪt/
defraud	/dɪˈfrɔːd/
distal	/ˈdɪstəl/
school-age	/ˈskuːlˌeɪdʒ/
multiple-choice	/ˌmʌltɪplˈtʃɔɪs/
baste	/beɪst/
practicum	/ˈpræktɪkəm/
dictum	/ˈdɪktəm/
forty-four	/ˌfɔːrtiˈfɔːr/
intensively	/ɪnˈtɛnsɪvli/
courtly	/ˈkɔːrtli/
corona	/kəˈroʊnə/
incurable	/ɪnˈkjʊrəbl/
unyielding	/ʌnˈjiːldɪŋ/
awkwardness	/ˈɔːkwərdnəs/
all-day	/ˌɔːlˈdeɪ/
trivialize	/ˈtrɪviəˌlaɪz/
whisky	/ˈwɪski/
subsist	/səbˈsɪst/
derogatory	/dɪˈrɑːɡətɔːri/
outhouse	/ˈaʊthaʊs/
open-minded	/ˌoʊpənˈmaɪndɪd/
counterfeit	/ˈkaʊntərˌfɪt/
technicality	/ˌtɛknɪˈkæləti/
behest	/bɪˈhɛst/
cheddar	/ˈtʃɛdər/
sapphire	/ˈsæfaɪər/
empathetic	/ˌɛmpəˈθɛtɪk/
platonic	/pləˈtɑːnɪk/
sizzling	/ˈsɪzlɪŋ/
lockout	/ˈlɑːkaʊt/
cog	/kɑːɡ/
carol	/ˈkærəl/
fruity	/ˈfruːti/
dehydrate	/diːˈhaɪdreɪt/
life-saving	/ˈlaɪfˌseɪvɪŋ/
markup	/ˈmɑːrkˌʌp/
holocaust	/ˈhɑːləkɔːst/
promiscuous	/prəˈmɪskjuəs/
corset	/ˈkɔːrsɪt/
horny	/ˈhɔːrni/
spiky	/ˈspaɪki/
aerodynamic	/ˌɛroʊdaɪˈnæmɪk/
incipient	/ɪnˈsɪpiənt/
rinsed	/rɪnst/
rippling	/ˈrɪplɪŋ/
memorialize	/məˈmɔːriəˌlaɪz/
exalt	/ɪɡˈzɔːlt/
aquaculture	/ˈækwəˌkʌltʃər/
snob	/snɑːb/
dopamine	/ˈdoʊpəˌmiːn/
airstrike	/ˈɛrˌstraɪk/
indie	/ˈɪndi/
centuries-old	/ˌsɛntʃərizˈoʊld/
personification	/pərˌsɑːnɪfɪˈkeɪʃən/
celeb	/ˈsɛlɪb/
weasel	/ˈwiːzəl/
viciously	/ˈvɪʃəsli/
futurist	/ˈfjuːtʃərɪst/
readable	/ˈriːdəbl/
shaping	/ˈʃeɪpɪŋ/
petitioner	/pəˈtɪʃənər/
carousel	/ˌkærəˈsɛl/
tory	/ˈtɔːri/
afield	/əˈfiːld/
cicada	/sɪˈkeɪdə/
hyena	/haɪˈiːnə/
rallying	/ˈræliɪŋ/
sturgeon	/ˈstɜːrdʒən/
chemo	/ˈkiːmoʊ/
untitled	/ˌʌnˈtaɪtəld/
untenable	/ʌnˈtɛnəbl/
rumpled	/ˈrʌmpəld/
pester	/ˈpɛstər/
loathing	/ˈloʊðɪŋ/
tightening	/ˈtaɪtnɪŋ/
congregational	/ˌkɑːŋɡrɪˈɡeɪʃənəl/
resigned	/rɪˈzaɪnd/
fiesta	/fiˈɛstə/
mean-spirited	/ˌmiːnˈspɪrɪtɪd/
grapevine	/ˈɡreɪpvaɪn/
rebuke	/rɪˈbjuːk/
innermost	/ˈɪnərˌmoʊst/
exhortation	/ˌɛɡzɔːrˈteɪʃən/
disorderly	/dɪsˈɔːrdərli/
non-white	/ˌnɑːnˈwaɪt/
smattering	/ˈsmætərɪŋ/
inhalation	/ˌɪnhəˈleɪʃən/
aggregation	/ˌæɡrɪˈɡeɪʃən/
adaptability	/əˌdæptəˈbɪləti/
sharpness	/ˈʃɑːrpnəs/
pacifist	/ˈpæsɪfɪst/
christen	/ˈkrɪsən/
toolbox	/ˈtuːlbɑːks/
capricious	/kəˈprɪʃəs/
horrid	/ˈhɔːrɪd/
paralyzed	/ˈpærəˌlaɪzd/
wharf	/wɔːrf/
disparage	/dɪˈspærɪdʒ/
signatory	/ˈsɪɡnəˌtɔːri/
enforced	/ɪnˈfɔːrst/
sameness	/ˈseɪmnəs/
world-famous	/ˌwɜːrldˈfeɪməs/
midsection	/ˈmɪdˌsɛkʃən/
alderman	/ˈɔːldərmən/
hotbed	/ˈhɑːtbɛd/
peacemaker	/ˈpiːsˌmeɪkər/
well-worn	/ˌwɛlˈwɔːrn/
snappy	/ˈsnæpi/
moniker	/ˈmɑːnɪkər/
melodramatic	/ˌmɛlədrəˈmætɪk/
molester	/məˈlɛstər/
historiography	/ˌhɪstɔːriˈɑːɡrəfi/
space-time	/ˈspeɪsˌtaɪm/
herpes	/ˈhɜːrpiːz/
rev	/rɛv/
extramarital	/ˌɛkstrəˈmærɪtl/
hazelnut	/ˈheɪzəlˌnʌt/
magnolia	/mæɡˈnoʊliə/
unicorn	/ˈjuːnɪkɔːrn/
stampede	/stæmˈpiːd/
underwriter	/ˈʌndərˌraɪtər/
undaunted	/ˌʌnˈdɔːntɪd/
downsizing	/ˈdaʊnsaɪzɪŋ/
treachery	/ˈtrɛtʃəri/
scorpion	/ˈskɔːrpiən/
medium-low	/ˌmiːdiəmˈloʊ/
dispersed	/dɪˈspɜːrst/
oeuvre	/ˈɜːvrə/
chiropractor	/ˈkaɪroʊˌpræktər/
needlessly	/ˈniːdləsli/
extra-virgin	/ˌɛkstrəˈvɜːrdʒɪn/
brainwash	/ˈbreɪnwɑːʃ/
genial	/ˈdʒiːniəl/
musing	/ˈmjuːzɪŋ/
parent-child	/ˈpɛrəntˌtʃaɪld/
ascendancy	/əˈsɛndənsi/
perversion	/pərˈvɜːrʒən/
knapsack	/ˈnæpsæk/
unproductive	/ˌʌnprəˈdʌktɪv/
materially	/məˈtɪriəli/
afoot	/əˈfʊt/
overpriced	/ˌoʊvərˈpraɪst/
redneck	/ˈrɛdnɛk/
forego	/fɔːrˈɡoʊ/
filming	/ˈfɪlmɪŋ/
miscalculation	/ˌmɪskælˈkjʊleɪʃən/
meteorological	/ˌmiːtiərəˈlɑːdʒɪkəl/
psi	/saɪ/
intelligible	/ɪnˈtɛlɪdʒəbl/
weakening	/ˈwiːkənɪŋ/
blindfold	/ˈblaɪndfoʊld/
hemorrhage	/ˈhɛmərɪdʒ/
incendiary	/ɪnˈsɛndiˌɛri/
enamor	/ɪˈnæmər/
full-service	/ˌfʊlˈsɜːrvɪs/
octave	/ˈɑːkteɪv/
mistreatment	/ˌmɪsˈtriːtmənt/
penitentiary	/ˌpɛnɪˈtɛnʃəri/
hearsay	/ˈhɪrseɪ/
ravages	/ˈrævɪdʒɪz/
idiotic	/ˌɪdiˈɑːtɪk/
pout	/paʊt/
retool	/riːˈtuːl/
self-awareness	/ˌsɛlfəˈwɛrnəs/
catchy	/ˈkætʃi/
luminary	/ˈluːməˌnɛri/
teak	/tiːk/
unplanned	/ˌʌnˈplænd/
shackle	/ˈʃækl/
sparingly	/ˈspɛrɪŋli/
bygone	/ˈbaɪɡɔːn/
reassign	/ˌriːəˈsaɪn/
copious	/ˈkoʊpiəs/
indulgent	/ɪnˈdʌldʒənt/
upshot	/ˈʌpʃɑːt/
uncooked	/ˌʌnˈkʊkt/
ricotta	/rɪˈkɑːtə/
ineffectual	/ˌɪnɪˈfɛktʃuəl/
unwrap	/ʌnˈræp/
keyword	/ˈkiːwɜːrd/
allergen	/ˈælərdʒən/
tantalizing	/ˈtæntəˌlaɪzɪŋ/
ten-year	/ˌtɛnˈjɪr/
thistle	/ˈθɪsəl/
generality	/ˌdʒɛnəˈrælɪti/
boxed	/bɑːkst/
backtrack	/ˈbækˌtræk/
enchanting	/ɪnˈtʃæntɪŋ/
exclusionary	/ɪkˈskluːʒəˌnɛri/
peeled	/piːld/
colt	/koʊlt/
homely	/ˈhoʊmli/
head-to-head	/ˌhɛd tə ˈhɛd/
diplomatically	/ˌdɪpləˈmætɪkli/
solicitor	/səˈlɪsɪtər/
collarbone	/ˈkɑːlərˌboʊn/
consonant	/ˈkɑːnsənənt/
inca	/ˈɪŋkə/
idealize	/aɪˈdiːəˌlaɪz/
cusp	/kʌsp/
canning	/ˈkænɪŋ/
monopolize	/məˈnɑːpəˌlaɪz/
informer	/ɪnˈfɔːrmər/
inordinate	/ɪnˈɔːrdənət/
fluff	/flʌf/
disavow	/ˌdɪsəˈvaʊ/
supersonic	/ˌsuːpərˈsɑːnɪk/
indentation	/ˌɪndɛnˈteɪʃən/
pancreas	/ˈpæŋkriəs/
lair	/lɛr/
populism	/ˈpɑːpjəlɪzəm/
sandinista	/ˌsændɪˈniːstə/
henceforth	/ˌhɛnsˈfɔːrθ/
imperialist	/ɪmˈpɪriəlɪst/
racketeering	/ˌrækɪˈtɪrɪŋ/
sorcery	/ˈsɔːrsəri/
seaman	/ˈsiːmən/
politicization	/pəˌlɪtɪsɪˈzeɪʃən/
inexperience	/ˌɪnɪkˈspɪriəns/
contort	/kənˈtɔːrt/
protectionist	/prəˈtɛkʃənɪst/
fell	/fɛl/
inactivity	/ˌɪnækˈtɪvɪti/
ingrain	/ɪnˈɡreɪn/
smashed	/smæʃt/
outmoded	/ˌaʊtˈmoʊdɪd/
salesperson	/ˈseɪlzˌpɜːrsən/
offshoot	/ˈɔːfʃuːt/
rainstorm	/ˈreɪnˌstɔːrm/
wayside	/ˈweɪˌsaɪd/
wired	/ˈwaɪərd/
recklessly	/ˈrɛkləsli/
inlaid	/ɪnˈleɪd/
formalize	/ˈfɔːrməˌlaɪz/
matched	/mætʃt/
tasteful	/ˈteɪstfəl/
racy	/ˈreɪsi/
belch	/bɛltʃ/
icelandic	/ˌaɪsˈlændɪk/
savanna	/səˈvænə/
insensitivity	/ˌɪnsɛnsəˈtɪvɪti/
postgraduate	/ˌpoʊstˈɡrædʒuət/
loll	/lɑːl/
shipwreck	/ˈʃɪpˌrɛk/
unwed	/ˌʌnˈwɛd/
chartered	/ˈtʃɑːrtərd/
chaser	/ˈtʃeɪsər/
lance	/læns/
quarter-century	/ˌkwɔːrtərˈsɛntʃəri/
value-added	/ˌvæljuˈædɪd/
hemlock	/ˈhɛmˌlɑːk/
snoop	/snuːp/
roulette	/ruːˈlɛt/
misbehave	/ˌmɪsbɪˈheɪv/
chieftain	/ˈtʃiːftən/
defensible	/dɪˈfɛnsəbl/
grumpy	/ˈɡrʌmpi/
chiffon	/ʃɪˈfɑːn/
delude	/dɪˈluːd/
intelligently	/ɪnˈtɛlɪdʒəntli/
accredited	/əˈkrɛdɪtɪd/
enchant	/ɪnˈtʃænt/
discriminant	/dɪˈskrɪmənənt/
epoxy	/ɪˈpɑːksi/
patented	/ˈpætəntɪd/
second-year	/ˌsɛkəndˈjɪr/
acidity	/əˈsɪdəti/
enviable	/ˈɛnviəbl/
gripe	/ɡraɪp/
germinate	/ˈdʒɜːrməˌneɪt/
respiration	/ˌrɛspəˈreɪʃən/
enthuse	/ɪnˈθuːz/
maggot	/ˈmæɡət/
broadside	/ˈbrɔːdsaɪd/
steelhead	/ˈstiːlˌhɛd/
eighth-grade	/ˈeɪθˌɡreɪd/
assertiveness	/əˈsɜːrtɪvnəs/
welder	/ˈwɛldər/
redraw	/ˌriːˈdrɔː/
luminosity	/ˌluːmɪˈnɑːsəti/
regrettable	/rɪˈɡrɛtəbl/
unaccustomed	/ˌʌnəˈkʌstəmd/
minefield	/ˈmaɪnfiːld/
invalid	/ˈɪnvəlɪd/
belle	/bɛl/
microchip	/ˈmaɪkroʊˌtʃɪp/
boldness	/ˈboʊldnəs/
rater	/ˈreɪtər/
lacquer	/ˈlækər/
infatuation	/ɪnˌfætʃuˈeɪʃən/
admitting	/ədˈmɪtɪŋ/
deathbed	/ˈdɛθbɛd/
holdout	/ˈhoʊldaʊt/
top-ranked	/ˌtɑːpˈræŋkt/
stalwart	/ˈstɔːlwərt/
internist	/ɪnˈtɜːrnɪst/
mallet	/ˈmælɪt/
orb	/ɔːrb/
marcher	/ˈmɑːrtʃər/
wannabe	/ˈwɑːnəˌbiː/
fortification	/ˌfɔːrtɪfɪˈkeɪʃən/
forensics	/fəˈrɛnsɪks/
wick	/wɪk/
aryan	/ˈɛriən/
accretion	/əˈkriːʃən/
sidle	/ˈsaɪdl/
imperil	/ɪmˈpɛrəl/
ameliorate	/əˈmiːliəˌreɪt/
sectional	/ˈsɛkʃənəl/
tact	/tækt/
masturbate	/ˈmæstərˌbeɪt/
inorganic	/ˌɪnɔːrˈɡænɪk/
shockingly	/ˈʃɑːkɪŋli/
snipe	/snaɪp/
excise	/ˈɛksaɪz/
purview	/ˈpɜːrvjuː/
chopsticks	/ˈtʃɑːpstɪks/
hard-boiled	/ˌhɑːrdˈbɔɪld/
teacup	/ˈtiːkʌp/
finisher	/ˈfɪnɪʃər/
lullaby	/ˈlʌləbaɪ/
slather	/ˈslæðər/
scavenge	/ˈskævɪndʒ/
reclusive	/rɪˈkluːsɪv/
dishonesty	/dɪsˈɑːnɪsti/
pickled	/ˈpɪkəld/
horse-drawn	/ˈhɔːrsˌdrɔːn/
hyperactive	/ˌhaɪpərˈæktɪv/
sympathetically	/ˌsɪmpəˈθɛtɪkli/
high-pressure	/ˌhaɪˈprɛʃər/
shifter	/ˈʃɪftər/
black-eyed	/ˌblækˈaɪd/
self-pity	/ˌsɛlfˈpɪti/
chronicler	/ˈkrɑːnɪklər/
wraparound	/ˈræpəˌraʊnd/
skimpy	/ˈskɪmpi/
panicked	/ˈpænɪkt/
hardcover	/ˈhɑːrdˌkʌvər/
conclusively	/kənˈkluːsɪvli/
deleterious	/ˌdɛləˈtɪriəs/
absorbing	/əbˈzɔːrbɪŋ/
matter-of-fact	/ˌmætər əv ˈfækt/
redness	/ˈrɛdnəs/
pariah	/pəˈraɪə/
hideaway	/ˈhaɪdəˌweɪ/
buttery	/ˈbʌtəri/
baguette	/bæˈɡɛt/
two-lane	/ˌtuːˈleɪn/
subprime	/ˌsʌbˈpraɪm/
goo	/ɡuː/
dike	/daɪk/
transformer	/trænsˈfɔːrmər/
unexplored	/ˌʌnɪkˈsplɔːrd/
lob	/lɑːb/
twofold	/ˈtuːfoʊld/
misdeed	/ˌmɪsˈdiːd/
overpowering	/ˌoʊvərˈpaʊərɪŋ/
elation	/iˈleɪʃən/
landlady	/ˈlændˌleɪdi/
archdiocese	/ˌɑːrtʃˈdaɪəsɪs/
jitters	/ˈdʒɪtərz/
blurred	/blɜːrd/
patina	/ˈpætɪnə/
blemish	/ˈblɛmɪʃ/
ninja	/ˈnɪndʒə/
adjoin	/əˈdʒɔɪn/
soundbite	/ˈsaʊndbaɪt/
sandbag	/ˈsændbæɡ/
multimillionaire	/ˌmʌltɪˌmɪljəˈnɛr/
wrangling	/ˈræŋɡlɪŋ/
unionized	/ˈjuːnjəˌnaɪzd/
illuminating	/ɪˈluːməˌneɪtɪŋ/
dryness	/ˈdraɪnəs/
extraneous	/ɪkˈstreɪniəs/
implode	/ɪmˈploʊd/
pragmatist	/ˈpræɡmətɪst/
bandanna	/bænˈdænə/
sieve	/sɪv/
sixth-grade	/ˌsɪksθˈɡreɪd/
incriminating	/ɪnˈkrɪməˌneɪtɪŋ/
acquiescence	/ˌækwiˈɛsəns/
preamble	/ˈpriːæmbl/
zigzag	/ˈzɪɡzæɡ/
custom-made	/ˌkʌstəmˈmeɪd/
polemic	/pəˈlɛmɪk/
wrought	/rɔːt/
mushy	/ˈmʌʃi/
indecision	/ˌɪndɪˈsɪʒən/
providing	/prəˈvaɪdɪŋ/
peppercorn	/ˈpɛpərkɔːrn/
resuscitate	/rɪˈsʌsɪteɪt/
semantics	/sɪˈmæntɪks/
fibrosis	/faɪˈbroʊsɪs/
introspective	/ˌɪntrəˈspɛktɪv/
reinvigorate	/ˌriːɪnˈvɪɡəreɪt/
amiss	/əˈmɪs/
anemic	/əˈniːmɪk/
antebellum	/ˌæntiˈbɛləm/
vaporize	/ˈveɪpəraɪz/
unwavering	/ˌʌnˈweɪvərɪŋ/
deplorable	/dɪˈplɔːrəbl/
lope	/loʊp/
denizen	/ˈdɛnɪzən/
blooming	/ˈbluːmɪŋ/
pudgy	/ˈpʌdʒi/
thirty-nine	/ˌθɜːrtiˈnaɪn/
crass	/kræs/
superhero	/ˈsuːpərˌhɪroʊ/
justifiably	/ˈdʒʌstɪfaɪəbli/
claustrophobic	/ˌklɔːstrəˈfoʊbɪk/
cobbler	/ˈkɑːblər/
travail	/trəˈveɪl/
esteemed	/ɪˈstiːmd/
deep-seated	/ˌdiːpˈsiːtɪd/
favoritism	/ˈfeɪvərɪˌtɪzəm/
heretic	/ˈhɛrətɪk/
demean	/dɪˈmiːn/
connote	/kəˈnoʊt/
bawl	/bɔːl/
cantaloupe	/ˈkæntəˌloʊp/
angelic	/ænˈdʒɛlɪk/
infest	/ɪnˈfɛst/
merciful	/ˈmɜːrsɪfl/
touchstone	/ˈtʌtʃstoʊn/
horticultural	/ˌhɔːrtɪˈkʌltʃərəl/
uninformed	/ˌʌnɪnˈfɔːrmd/
flaky	/ˈfleɪki/
dour	/daʊr/
constitutive	/ˈkɑːnstɪˌtuːtɪv/
debunk	/diːˈbʌŋk/
secede	/sɪˈsiːd/
papa	/ˈpɑːpə/
demented	/dɪˈmɛntɪd/
singularly	/ˈsɪŋɡjələrli/
filtering	/ˈfɪltərɪŋ/
forty-seven	/ˌfɔːrtiˈsɛvən/
exterminate	/ɪkˈstɜːrmɪneɪt/
to-do	/təˈduː/
profane	/prəˈfeɪn/
clink	/klɪŋk/
achiever	/əˈtʃiːvər/
sit-up	/ˈsɪtˌʌp/
tranquilizer	/ˈtræŋkwɪˌlaɪzər/
unseat	/ʌnˈsiːt/
cannibal	/ˈkænɪbl/
blithely	/ˈblaɪðli/
big-name	/ˌbɪɡˈneɪm/
digitize	/ˈdɪdʒɪtaɪz/
gizmo	/ˈɡɪzmoʊ/
tirelessly	/ˈtaɪərˌlɛsli/
whoop	/wuːp/
unchanging	/ʌnˈtʃeɪndʒɪŋ/
attainable	/əˈteɪnəbl/
unkind	/ʌnˈkaɪnd/
deadpan	/ˈdɛdpæn/
willfully	/ˈwɪlfəli/
speeding	/ˈspiːdɪŋ/
festoon	/fɛˈstuːn/
screener	/ˈskriːnər/
grotto	/ˈɡrɑːtoʊ/
unfairness	/ˌʌnˈfɛrnəs/
reincarnation	/ˌriːɪnkɑːrˈneɪʃən/
planetarium	/ˌplænɪˈtɛriəm/
dowry	/ˈdaʊri/
vex	/vɛks/
interrelationship	/ˌɪntərɪˈleɪʃənʃɪp/
