the	["the"]
strangle	["'stran", "gle"]
unofficial	["un", "of", "'fi", "cial"]
pup	["pup"]
stray	["stray"]
appetizer	["'ap", "pe", "ti", "zer"]
hunch	["hunch"]
chic	["chic"]
lineman	["'line", "man"]
replica	["'rep", "li", "ca"]
elude	["e", "'lude"]
contingent	["con", "'tin", "gent"]
sprawl	["sprawl"]
ex-wife	["'ex", "wife"]
sponsorship	["'spon", "sor", "ship"]
advancing	["ad", "'van", "cing"]
daring	["'dar", "ing"]
firsthand	["'first", "hand"]
tanker	["'tan", "ker"]
fellowship	["'fel", "low", "ship"]
overflow	["'o", "ver", "flow"]
shoreline	["'shore", "line"]
dreadful	["'dread", "ful"]
twitch	["twitch"]
brigade	["bri", "'gade"]
elegance	["'el", "e", "gance"]
aesthetics	["es", "'thet", "ics"]
paramount	["'par", "a", "mount"]
sponge	["sponge"]
carton	["'car", "ton"]
suffice	["su", "'ffice"]
engender	["en", "'gen", "der"]
glamor	["'glam", "or"]
artisan	["'ar", "ti", "san"]
needless	["'need", "less"]
inconsistency	["in", "con", "'sis", "ten", "cy"]
limo	["'li", "mo"]
towering	["'tow", "er", "ing"]
burgeoning	["'bur", "geon", "ing"]
dissertation	["dis", "ser", "'ta", "tion"]
asparagus	["a", "'spar", "a", "gus"]
powerless	["'pow", "er", "less"]
terminology	["ter", "mi", "'nol", "o", "gy"]
preferably	["'pref", "er", "a", "bly"]
cracked	["cracked"]
shriek	["shriek"]
opaque	["o", "'paque"]
nausea	["'nau", "se", "a"]
optics	["'op", "tics"]
menace	["'men", "ace"]
cactus	["'cac", "tus"]
horseback	["'horse", "back"]
numb	["numb"]
fridge	["fridge"]
rewarding	["re", "'war", "ding"]
hastily	["'has", "ti", "ly"]
editing	["'ed", "it", "ing"]
academically	["a", "ca", "dem", "'i", "cal", "ly"]
socialization	["so", "cial", "i", "'za", "tion"]
falter	["'fal", "ter"]
fuss	["fuss"]
warden	["'war", "den"]
amazement	["a", "'maze", "ment"]
famously	["'fa", "mous", "ly"]
orchid	["'or", "chid"]
pluralism	["'plur", "al", "ism"]
pouch	["pouch"]
miraculous	["mi", "'rac", "u", "lous"]
crackdown	["'crack", "down"]
humiliate	["hu", "'mil", "i", "ate"]
willingly	["'wil", "ling", "ly"]
gravitational	["grav", "i", "ta", "'tion", "al"]
unnoticed	["un", "no", "'ticed"]
hebrew	["'he", "brew"]
racially	["'ra", "cial", "ly"]
cherokee	["'cher", "o", "kee"]
tyranny	["'tyr", "a", "ny"]
breadth	["breadth"]
vividly	["'viv", "id", "ly"]
heavenly	["'heav", "en", "ly"]
scurry	["'scur", "ry"]
gangster	["'gang", "ster"]
sterile	["'ster", "ile"]
orphanage	["'or", "phan", "age"]
multilateral	["mul", "ti", "'lat", "er", "al"]
extinct	["ex", "'tinct"]
cupboard	["'cup", "board"]
impetus	["'im", "pe", "tus"]
networking	["'net", "work", "ing"]
muted	["'mu", "ted"]
plump	["plump"]
twenty-one	["'twen", "ty", "one"]
one-half	["'one", "half"]
lad	["lad"]
unilateral	["u", "ni", "'lat", "er", "al"]
gorilla	["go", "'ril", "la"]
satin	["'sat", "in"]
assimilation	["a", "sim", "i", "'la", "tion"]
residency	["'res", "i", "den", "cy"]
asshole	["'ass", "hole"]
cloning	["'clo", "ning"]
caring	["'car", "ing"]
futile	["'fu", "tile"]
hanging	["'han", "ging"]
cultivation	["cul", "ti", "'va", "tion"]
salty	["'sal", "ty"]
posit	["'pos", "it"]
cutter	["'cut", "ter"]
bowel	["'bow", "el"]
idol	["'i", "dol"]
reshape	["re", "'shape"]
refinery	["re", "'fi", "ner", "y"]
conspicuous	["con", "'spic", "u", "ous"]
self-determination	["self", "de", "ter", "mi", "'na", "tion"]
accused	["ac", "'cused"]
tenor	["'ten", "or"]
ordinarily	["or", "di", "'nar", "i", "ly"]
stud	["stud"]
emptiness	["'emp", "ti", "ness"]
one-way	["'one", "way"]
platoon	["pla", "'toon"]
hustle	["'hus", "tle"]
barefoot	["'bare", "foot"]
invasive	["in", "'va", "sive"]
state-of-the-art	["'state", "of", "the", "art"]
upbeat	["'up", "beat"]
ruthless	["'ruth", "less"]
placebo	["pla", "'ce", "bo"]
outlaw	["'out", "law"]
cripple	["'crip", "ple"]
ballad	["'bal", "lad"]
braid	["braid"]
shady	["'sha", "dy"]
losing	["'loo", "sing"]
footing	["'foot", "ing"]
waver	["'wa", "ver"]
man-made	["'man", "made"]
salient	["'sa", "li", "ent"]
carcass	["'car", "cass"]
motorist	["'mo", "tor", "ist"]
screenplay	["'screen", "play"]
radius	["'ra", "di", "us"]
solving	["'solv", "ing"]
banish	["'ban", "ish"]
magician	["ma", "'gi", "cian"]
prophecy	["'proph", "e", "cy"]
broom	["broom"]
candid	["'can", "did"]
trendy	["'tren", "dy"]
ecstasy	["'ec", "sta", "sy"]
unison	["'u", "ni", "son"]
unthinkable	["un", "'thin", "ka", "ble"]
bestow	["be", "'stow"]
assimilate	["a", "'sim", "i", "late"]
beet	["beet"]
bandage	["'ban", "dage"]
intimidating	["in", "'tim", "i", "da", "ting"]
fairway	["'fair", "way"]
gloom	["gloom"]
framed	["framed"]
misconception	["mis", "con", "'cep", "tion"]
lining	["'li", "ning"]
hoist	["hoist"]
waiver	["'wai", "ver"]
tangle	["'tan", "gle"]
rearrange	["re", "ar", "'range"]
undertaking	["'un", "der", "ta", "king"]
flier	["'fli", "er"]
hasten	["'has", "ten"]
digest	["di", "'gest"]
jagged	["'jag", "ged"]
counting	["'coun", "ting"]
prolong	["pro", "'long"]
doughnut	["'dough", "nut"]
dysfunction	["dys", "'func", "tion"]
relinquish	["re", "'lin", "quish"]
commence	["com", "'mence"]
hesitant	["'hes", "i", "tant"]
flurry	["'flur", "ry"]
apprehension	["ap", "pre", "'hen", "sion"]
clog	["clog"]
medium-high	["'me", "di", "um", "high"]
dismal	["'dis", "mal"]
noteworthy	["'note", "wor", "thy"]
plume	["plume"]
sweetness	["'sweet", "ness"]
algae	["'al", "gae"]
infantry	["'in", "fan", "try"]
unmarried	["un", "'mar", "ried"]
cut-off	["'cut", "off"]
sloppy	["'slop", "py"]
transcribe	["trans", "'cribe"]
predicament	["pre", "'dic", "a", "ment"]
sinus	["'si", "nus"]
garnish	["'gar", "nish"]
override	["o", "ver", "'ride"]
notch	["notch"]
one-on-one	["'one", "on", "one"]
forty-five	["'for", "ty", "five"]
attentive	["a", "'ten", "tive"]
perish	["'per", "ish"]
tangled	["'tan", "gled"]
donkey	["'don", "key"]
healer	["'hea", "ler"]
dealership	["'dea", "ler", "ship"]
blueberry	["'blue", "ber", "ry"]
vicinity	["vi", "'cin", "i", "ty"]
humility	["hu", "'mil", "i", "ty"]
pleasing	["'plea", "sing"]
televised	["'tel", "e", "vised"]
caffeine	["caf", "'feen"]
locus	["'lo", "cus"]
anthem	["'an", "them"]
stuck	["stuck"]
vanity	["'van", "i", "ty"]
mango	["'man", "go"]
bulky	["'bul", "ky"]
limp	["limp"]
motionless	["'mo", "tion", "less"]
tickle	["'tic", "kle"]
biotechnology	["bi", "o", "tech", "'nol", "o", "gy"]
bony	["'bo", "ny"]
scour	["scour"]
wizard	["'wiz", "ard"]
freshwater	["'fresh", "wa", "ter"]
traveling	["'trav", "el", "ing"]
dilute	["di", "'lute"]
billionaire	["'bil", "lion", "aire"]
kite	["kite"]
compress	["com", "'press"]
waterway	["'wa", "ter", "way"]
jockey	["'joc", "key"]
skyline	["'sky", "line"]
lunge	["lunge"]
limiting	["'lim", "it", "ing"]
mortal	["'mor", "tal"]
ascend	["a", "'scend"]
exempt	["ex", "'empt"]
ultraviolet	["ul", "tra", "'vi", "o", "let"]
twig	["twig"]
downhill	["'down", "hill"]
pageant	["'pa", "geant"]
ashore	["a", "'shore"]
rectangular	["rec", "'tan", "gu", "lar"]
eldest	["'el", "dest"]
rum	["rum"]
best-known	["'best", "known"]
alligator	["'al", "li", "ga", "tor"]
overshadow	["o", "ver", "'sha", "dow"]
persuasion	["per", "'swa", "sion"]
unhealthy	["un", "'hel", "thy"]
repeal	["re", "'peal"]
halo	["'ha", "lo"]
two-way	["'two", "way"]
ensue	["en", "'sue"]
intimately	["'in", "ti", "mate", "ly"]
havoc	["'hav", "oc"]
bilingual	["bi", "'lin", "gual"]
borrower	["'bor", "row", "er"]
reed	["reed"]
wed	["wed"]
evade	["e", "'vade"]
terrified	["'ter", "ri", "fied"]
promotional	["pro", "'mo", "tion", "al"]
generating	["'gen", "er", "a", "ting"]
chlorine	["'chlo", "rine"]
sulfur	["'sul", "fur"]
riches	["'rich", "es"]
inference	["'in", "fer", "ence"]
sane	["sane"]
robber	["'rob", "ber"]
monarchy	["'mon", "ar", "chy"]
deity	["'de", "i", "ty"]
metabolism	["me", "'tab", "o", "lism"]
somber	["'som", "ber"]
engulf	["en", "'gulf"]
unsettle	["un", "'set", "tle"]
mailing	["'mai", "ling"]
subtly	["'sub", "tly"]
containment	["con", "'tain", "ment"]
magnify	["'mag", "ni", "fy"]
colonist	["'col", "o", "nist"]
admirer	["ad", "'mi", "rer"]
ascertain	["as", "cer", "'tain"]
malpractice	["mal", "'prac", "tice"]
misguided	["mis", "'gui", "ded"]
sinister	["'sin", "is", "ter"]
outburst	["'out", "burst"]
incarnation	["in", "car", "'na", "tion"]
mower	["'mow", "er"]
auditorium	["au", "di", "'tor", "i", "um"]
microscopic	["mi", "cro", "'scop", "ic"]
poisoning	["'poi", "son", "ing"]
caretaker	["'care", "ta", "ker"]
juggle	["'jug", "gle"]
plainly	["'plain", "ly"]
limousine	["'lim", "o", "zine"]
plentiful	["'plen", "ti", "ful"]
guitarist	["gi", "tar", "'ist"]
defining	["de", "'fi", "ning"]
starvation	["star", "'va", "tion"]
deflect	["de", "'flect"]
defiance	["de", "'fi", "ance"]
luminous	["'lu", "mi", "nous"]
shear	["shear"]
amplify	["'am", "pli", "fy"]
lofty	["'lof", "ty"]
foyer	["'foy", "er"]
staggering	["'stag", "ger", "ing"]
modernist	["'mod", "ern", "ist"]
snowy	["'snow", "y"]
casket	["'cas", "ket"]
inauguration	["in", "au", "gu", "'ra", "tion"]
rot	["rot"]
horrify	["'hor", "ri", "fy"]
dryer	["'dry", "er"]
fume	["'fume"]
meager	["'mea", "ger"]
warranty	["'war", "ran", "ty"]
seeker	["'seek", "er"]
dent	["'dent"]
pollen	["'pol", "len"]
remotely	["re", "'mote", "ly"]
rusty	["'rus", "ty"]
terrestrial	["te", "'res", "tri", "al"]
breaking	["'break", "ing"]
jug	["'jug"]
alienation	["a", "li", "e", "'na", "tion"]
self-confidence	["self", "'con", "fi", "dence"]
perk	["'perk"]
permeate	["'per", "me", "ate"]
late-night	["'late", "night"]
defiant	["de", "'fi", "ant"]
swollen	["'swol", "len"]
maritime	["'mar", "i", "time"]
grunt	["'grunt"]
taxation	["tax", "'a", "tion"]
loophole	["'loop", "hole"]
bash	["'bash"]
acquaint	["ac", "'quaint"]
statistic	["sta", "'tis", "tic"]
afflict	["a", "'flict"]
tan	["'tan"]
pollster	["'poll", "ster"]
browse	["'browse"]
apiece	["a", "'piece"]
amass	["a", "'mass"]
skater	["'ska", "ter"]
implicitly	["im", "'plic", "it", "ly"]
slum	["'slum"]
licensing	["'li", "cen", "sing"]
inefficient	["in", "ef", "'fi", "cient"]
soaring	["'soar", "ing"]
cyclist	["'cy", "clist"]
managed	["'man", "aged"]
unto	["un", "'to"]
traverse	["tra", "'verse"]
protector	["pro", "'tec", "tor"]
thermometer	["ther", "'mom", "e", "ter"]
hippie	["'hip", "pie"]
cape	["'cape"]
disdain	["dis", "'dain"]
prominently	["'prom", "i", "nent", "ly"]
vigor	["'vi", "gor"]
comer	["'com", "er"]
savvy	["'sav", "vy"]
oppressive	["op", "'pres", "sive"]
mow	["'mow"]
unnatural	["un", "'nat", "u", "ral"]
precursor	["pre", "'cur", "sor"]
poignant	["'poign", "ant"]
vibrate	["'vi", "brate"]
swoop	["'swoop"]
statutory	["'stat", "u", "to", "ry"]
marketer	["'mar", "ket", "er"]
finite	["'fi", "nite"]
minivan	["'min", "i", "van"]
cleansing	["'clen", "sing"]
impart	["im", "'part"]
parachute	["'par", "a", "chute"]
centralized	["'cen", "tral", "ized"]
trafficking	["'traf", "fic", "king"]
treadmill	["'tread", "mill"]
discontent	["dis", "con", "'tent"]
coaster	["'coast", "er"]
dissident	["'dis", "si", "dent"]
faintly	["'faint", "ly"]
amuse	["a", "'muse"]
twenty-first	["'twen", "ty", "first"]
vinyl	["'vi", "nyl"]
arousal	["a", "'rou", "sal"]
hiker	["'hi", "ker"]
mileage	["'mi", "leage"]
browser	["'brow", "ser"]
speedy	["'spee", "dy"]
underline	["'un", "der", "line"]
close-up	["'close", "up"]
eclectic	["e", "'clec", "tic"]
intimidation	["in", "tim", "i", "'da", "tion"]
newfound	["'new", "found"]
stained	["'stained"]
snag	["'snag"]
prescribed	["pre", "'scribed"]
sly	["'sly"]
relegate	["'rel", "e", "gate"]
prom	["'prom"]
quantify	["'quan", "ti", "fy"]
conspire	["con", "'spire"]
motivated	["'mo", "ti", "vat", "ed"]
geologist	["ge", "'ol", "o", "gist"]
pundit	["'pun", "dit"]
hairy	["'hair", "y"]
bearded	["'beard", "ed"]
oust	["'oust"]
shadowy	["'shad", "ow", "y"]
abdomen	["'ab", "do", "men"]
entice	["en", "'tice"]
speculative	["'spec", "u", "la", "tive"]
interpretive	["in", "'ter", "pre", "tive"]
reserved	["re", "'served"]
partition	["par", "'ti", "tion"]
recurring	["re", "'cur", "ring"]
uniformed	["'u", "ni", "formed"]
communion	["com", "'mun", "ion"]
deterrent	["de", "'ter", "rent"]
swelling	["'swel", "ling"]
squarely	["'square", "ly"]
self-conscious	["self", "'con", "scious"]
storyteller	["'sto", "ry", "tell", "er"]
timeless	["'time", "less"]
occupied	["'oc", "cu", "pied"]
pioneering	["pi", "o", "'neer", "ing"]
demolish	["de", "'mol", "ish"]
berth	["'berth"]
abs	["'abs"]
radiant	["'ra", "di", "ant"]
orbital	["'or", "bi", "tal"]
backbone	["'back", "bone"]
nope	["'nope"]
marrow	["'mar", "row"]
furiously	["'fu", "ri", "ous", "ly"]
transnational	["trans", "'na", "tion", "al"]
greasy	["'greas", "y"]
checkpoint	["'check", "point"]
platinum	["'plat", "i", "num"]
silicon	["'sil", "i", "con"]
stitch	["'stitch"]
supernova	["'su", "per", "'no", "va"]
bonding	["'bond", "ing"]
loaded	["'load", "ed"]
postseason	["'post", "sea", "son"]
denote	["de", "'note"]
devoid	["de", "'void"]
authorization	["au", "thor", "i", "'za", "tion"]
immoral	["im", "'mor", "al"]
receptor	["re", "'cep", "tor"]
assorted	["as", "'sort", "ed"]
armchair	["'arm", "chair"]
stiffen	["'stif", "fen"]
voltage	["'vol", "tage"]
grieve	["'grieve"]
receptive	["re", "'cep", "tive"]
seminary	["'sem", "i", "nar", "y"]
populist	["'pop", "u", "list"]
heading	["'head", "ing"]
bathtub	["'bath", "tub"]
darkened	["'dar", "kened"]
harness	["'har", "ness"]
leftover	["'left", "o", "ver"]
coercion	["co", "'er", "cion"]
fatality	["fa", "'tal", "i", "ty"]
drizzle	["'driz", "zle"]
walkway	["'walk", "way"]
dissipate	["'dis", "si", "pate"]
publicize	["'pub", "li", "cize"]
incompetent	["in", "'com", "pe", "tent"]
chaplain	["'chap", "lain"]
subordinate	["sub", "'or", "di", "nate"]
visibly	["'vis", "i", "bly"]
semifinal	["'sem", "i", "'fi", "nal"]
pediatrician	["pe", "di", "a", "'tri", "cian"]
uninsured	["un", "in", "'sured"]
finale	["fi", "'na", "le"]
mahogany	["ma", "'hog", "a", "ny"]
bulge	["'bulge"]
oxide	["'ox", "ide"]
reimbursement	["re", "im", "'bur", "ment"]
ensuing	["en", "'su", "ing"]
diocese	["'di", "o", "cese"]
pessimistic	["pes", "si", "'mis", "tic"]
quarry	["'quar", "ry"]
savior	["'sav", "ior"]
bidding	["'bid", "ding"]
wallpaper	["'wall", "pa", "per"]
obscene	["ob", "'scene"]
scarcity	["'scar", "ci", "ty"]
locale	["lo", "'cale"]
cynicism	["'cin", "i", "cism"]
combustion	["com", "'bus", "tion"]
invader	["in", "'vad", "er"]
ventilation	["ven", "ti", "'la", "tion"]
turbulent	["'tur", "bu", "lent"]
holistic	["ho", "'lis", "tic"]
inviting	["in", "'vit", "ing"]
manure	["ma", "'nure"]
tenet	["'ten", "et"]
straddle	["'strad", "dle"]
norwegian	["nor", "'we", "gian"]
longitudinal	["lon", "gi", "'tu", "di", "nal"]
affirmation	["af", "fir", "'ma", "tion"]
ethnographic	["eth", "no", "'graph", "ic"]
luncheon	["'lun", "cheon"]
aggravate	["'ag", "gra", "vate"]
insanity	["in", "'san", "i", "ty"]
cornerstone	["'cor", "ner", "stone"]
good-looking	["good", "'look", "ing"]
called	["'called"]
exaggerated	["ex", "'ag", "ger", "at", "ed"]
rustic	["'rus", "tic"]
seductive	["se", "'duc", "tive"]
mantle	["'man", "tle"]
rigor	["'ri", "gor"]
flux	["'flux"]
query	["'que", "ry"]
gloomy	["'gloo", "my"]
disposable	["dis", "'pos", "a", "ble"]
sling	["'sling"]
proprietary	["pro", "'pri", "e", "tar", "y"]
light-year	["'light", "year"]
warhead	["'war", "head"]
para	["'par", "a"]
troublesome	["'trou", "ble", "some"]
kinda	["'kin", "da"]
problem-solving	["'prob", "lem", "'solv", "ing"]
wreath	["'wreath"]
torn	["'torn"]
annoy	["a", "'noy"]
amidst	["a", "'midst"]
managerial	["man", "a", "'ge", "ri", "al"]
discrete	["dis", "'creet"]
geometric	["ge", "o", "'met", "ric"]
wooded	["'wood", "ed"]
condemnation	["con", "dem", "'na", "tion"]
nighttime	["'night", "time"]
warm-up	["'warm", "up"]
scribble	["'scrib", "ble"]
scorer	["'scor", "er"]
enclosure	["en", "'clo", "sure"]
molest	["mo", "'lest"]
contaminant	["con", "'tam", "i", "nant"]
gothic	["'goth", "ic"]
umpire	["'um", "pire"]
hard-core	["'hard", "core"]
imprisonment	["im", "'pri", "son", "ment"]
flop	["'flop"]
revel	["'rev", "el"]
indicative	["in", "'dic", "a", "tive"]
tidy	["'ti", "dy"]
blackness	["'black", "ness"]
dysfunctional	["dys", "'func", "tion", "al"]
typewriter	["'type", "writ", "er"]
lagoon	["la", "'goon"]
vista	["'vis", "ta"]
ambivalence	["am", "'biv", "a", "lence"]
impaired	["im", "'paired"]
blizzard	["'bliz", "zard"]
unavailable	["un", "a", "'vail", "a", "ble"]
humorous	["'hu", "mor", "ous"]
insofar	["in", "so", "'far"]
utilization	["u", "til", "i", "'za", "tion"]
decor	["de", "'cor"]
divisive	["di", "'vi", "sive"]
worn	["'worn"]
buyout	["'buy", "out"]
unmistakable	["un", "mis", "'tak", "a", "ble"]
beware	["be", "'ware"]
melon	["'mel", "on"]
smoky	["'smo", "ky"]
sensational	["sen", "'sa", "tion", "al"]
forgotten	["for", "'got", "ten"]
usefulness	["'use", "ful", "ness"]
wrath	["'wrath"]
pertinent	["'per", "ti", "nent"]
vineyard	["'vin", "yard"]
soundtrack	["'sound", "track"]
condominium	["con", "do", "'min", "i", "um"]
self-efficacy	["self", "ef", "fi", "'ca", "cy"]
nontraditional	["non", "tra", "'di", "tion", "al"]
unanswered	["un", "'an", "swered"]
wiring	["'wir", "ing"]
shimmering	["'shim", "mer", "ing"]
flinch	["'flinch"]
pulpit	["'pul", "pit"]
presumption	["pre", "'zump", "tion"]
endow	["en", "'dow"]
downplay	["'down", "play"]
anyhow	["'an", "y", "how"]
bullshit	["'bull", "shit"]
acknowledgment	["ac", "'knowl", "edge", "ment"]
racket	["'rack", "et"]
vocation	["vo", "'ca", "tion"]
moss	["'moss"]
connected	["con", "'nec", "ted"]
waterfront	["'wa", "ter", "front"]
rounded	["'round", "ed"]
levee	["'lev", "ee"]
abandonment	["a", "'ban", "don", "ment"]
logistics	["lo", "'gis", "tics"]
tart	["'tart"]
favored	["'fa", "vored"]
witty	["'wit", "ty"]
stale	["'stale"]
obedience	["o", "'be", "di", "ence"]
short-lived	["'short", "lived"]
equitable	["'eq", "ui", "ta", "ble"]
careless	["'care", "less"]
fret	["'fret"]
disseminate	["dis", "'sem", "i", "nate"]
altered	["'al", "tered"]
fetal	["'fe", "tal"]
flatter	["'flat", "ter"]
worldview	["'world", "view"]
injunction	["in", "'junc", "tion"]
errand	["'er", "rand"]
marking	["'mark", "ing"]
lapse	["'lapse"]
rapist	["'ra", "pist"]
suspended	["sus", "'pen", "ded"]
kitten	["'kit", "ten"]
realist	["'re", "al", "ist"]
finishing	["'fin", "ish", "ing"]
photon	["'pho", "ton"]
frying	["'fry", "ing"]
showing	["'show", "ing"]
ballistic	["bal", "'lis", "tic"]
psychiatry	["psy", "'chi", "a", "try"]
improvisation	["im", "pro", "vi", "'za", "tion"]
observed	["ob", "'served"]
barge	["'barge"]
runaway	["'run", "a", "way"]
envoy	["'en", "voy"]
coexist	["co", "ex", "'ist"]
anti-war	["'an", "ti", "war"]
sucker	["'suck", "er"]
judiciary	["ju", "'di", "ci", "ar", "y"]
chromosome	["'chro", "mo", "some"]
traitor	["'trai", "tor"]
unconventional	["un", "con", "'ven", "tion", "al"]
markedly	["'mark", "ed", "ly"]
espouse	["e", "'spouse"]
powdered	["'pow", "dered"]
driven	["'dri", "ven"]
chopper	["'chop", "per"]
adherence	["ad", "'her", "ence"]
showdown	["'show", "down"]
serum	["'se", "rum"]
rehab	["'re", "hab"]
traction	["'trac", "tion"]
sunscreen	["'sun", "screen"]
graveyard	["'grave", "yard"]
rodent	["'ro", "dent"]
scientifically	["sci", "en", "'tif", "i", "cal", "ly"]
lame	["'lame"]
journalistic	["jour", "nal", "'is", "tic"]
re-establish	["re", "es", "'tab", "lish"]
analog	["'an", "a", "log"]
iceberg	["'ice", "berg"]
parrot	["'par", "rot"]
template	["'tem", "plate"]
congratulations	["con", "grat", "u", "'la", "tions"]
midtown	["'mid", "town"]
deserted	["de", "'ser", "ted"]
faulty	["'fault", "y"]
unification	["u", "ni", "fi", "'ca", "tion"]
thump	["'thump"]
paralysis	["pa", "'ral", "y", "sis"]
strew	["'strew"]
tempo	["'tem", "po"]
acquit	["ac", "'quit"]
wilt	["'wilt"]
twenty-three	["'twen", "ty", "three"]
yeast	["'yeast"]
pediatric	["pe", "di", "'at", "ric"]
enrichment	["en", "'rich", "ment"]
thy	["'thy"]
botanical	["bo", "'tan", "i", "cal"]
divinity	["di", "'vin", "i", "ty"]
flowing	["'flow", "ing"]
wane	["'wane"]
unfairly	["un", "'fair", "ly"]
savage	["'sav", "age"]
forceful	["'force", "ful"]
tack	["'tack"]
emblem	["'em", "blem"]
promised	["'prom", "ised"]
willow	["'wil", "low"]
bland	["'bland"]
styling	["'sty", "ling"]
gateway	["'gate", "way"]
termination	["ter", "mi", "'na", "tion"]
stakeholder	["'stake", "hold", "er"]
hegemony	["he", "'gem", "o", "ny"]
homage	["'hom", "age"]
mashed	["'mashed"]
sailing	["'sail", "ing"]
fed	["'fed"]
displaced	["dis", "'placed"]
thriving	["'thriv", "ing"]
mobilization	["mo", "bi", "li", "'za", "tion"]
psychosocial	["psy", "cho", "'so", "cial"]
clipping	["'clip", "ping"]
convergence	["con", "'ver", "gence"]
immensely	["im", "'men", "se", "ly"]
imagined	["i", "'mag", "ined"]
palpable	["'pal", "pa", "ble"]
mantra	["'man", "tra"]
password	["'pass", "word"]
aboriginal	["ab", "o", "'rig", "i", "nal"]
cosmetics	["cos", "'met", "ics"]
whim	["'whim"]
spotted	["'spot", "ted"]
watchdog	["'watch", "dog"]
adjustable	["ad", "'jus", "ta", "ble"]
pickle	["'pic", "kle"]
stationary	["'sta", "tion", "ar", "y"]
continual	["con", "'tin", "u", "al"]
ridicule	["'rid", "i", "cule"]
dj	["'dj"]
denim	["'den", "im"]
virgin	["'vir", "gin"]
pitching	["'pitch", "ing"]
rectangle	["'rec", "tan", "gle"]
op	["'op"]
angular	["'an", "gu", "lar"]
imperfect	["im", "'per", "fect"]
revert	["re", "'vert"]
periphery	["pe", "'riph", "er", "y"]
patronage	["'pa", "tron", "age"]
engaging	["en", "'gag", "ing"]
startled	["'start", "led"]
clinician	["cli", "'ni", "cian"]
bikini	["bi", "'ki", "ni"]
hospitalize	["'hos", "pi", "tal", "ize"]
ringing	["'ring", "ing"]
comparatively	["com", "'par", "a", "tive", "ly"]
poisonous	["'poi", "son", "ous"]
statesman	["'states", "man"]
villa	["'vil", "la"]
marxist	["'marx", "ist"]
stimulating	["'stim", "u", "lat", "ing"]
two-hour	["'two", "hour"]
zest	["'zest"]
appointee	["ap", "poin", "'tee"]
invaluable	["in", "'val", "u", "a", "ble"]
infusion	["in", "'fu", "sion"]
ulcer	["'ul", "cer"]
proactive	["pro", "'ac", "tive"]
shampoo	["sham", "'poo"]
translucent	["trans", "'lu", "cent"]
brutally	["'bru", "tal", "ly"]
triumphant	["tri", "'um", "phant"]
sensual	["'sen", "su", "al"]
fitting	["'fit", "ting"]
self-defense	["self", "de", "'fense"]
hoof	["'hoof"]
chandelier	["chan", "de", "'lier"]
contaminated	["con", "'tam", "i", "nat", "ed"]
halve	["'halve"]
coordinated	["co", "'or", "di", "nat", "ed"]
approved	["ap", "'proved"]
concentrated	["'con", "cen", "trat", "ed"]
unpaid	["un", "'paid"]
enthusiastically	["en", "thu", "zi", "'as", "ti", "cal", "ly"]
precarious	["pre", "'car", "i", "ous"]
grassy	["'gras", "sy"]
self-interest	["self", "'in", "ter", "est"]
mosaic	["mo", "'sa", "ic"]
winding	["'wind", "ing"]
rosy	["'ro", "sy"]
downstream	["'down", "stream"]
shredded	["'shred", "ded"]
clam	["'clam"]
in-house	["'in", "house"]
breathtaking	["'breath", "tak", "ing"]
passionately	["'pas", "sion", "ate", "ly"]
avalanche	["'av", "a", "lanche"]
numerical	["nu", "'mer", "i", "cal"]
robotic	["ro", "'bot", "ic"]
squadron	["'squad", "ron"]
festive	["'fes", "tive"]
coupon	["'cou", "pon"]
biker	["'bi", "ker"]
ramification	["ram", "i", "fi", "'ca", "tion"]
sluggish	["'slug", "gish"]
grope	["'grope"]
venerable	["'ven", "er", "a", "ble"]
seventeenth	["'sev", "en", "'teenth"]
microbe	["'mi", "crobe"]
repetitive	["re", "'pet", "i", "tive"]
engaged	["en", "'gaged"]
baker	["'ba", "ker"]
footnote	["'foot", "note"]
serene	["se", "'rene"]
notation	["no", "'ta", "tion"]
hungarian	["hun", "'gar", "i", "an"]
sanitation	["san", "i", "'ta", "tion"]
vector	["'vec", "tor"]
gust	["'gust"]
folding	["'fold", "ing"]
fluffy	["'fluf", "fy"]
stern	["'stern"]
pathology	["pa", "'thol", "o", "gy"]
incompatible	["in", "com", "'pat", "i", "ble"]
blurt	["'blurt"]
vain	["vein"]
vigil	["'vi", "gil"]
suppression	["su", "pre", "'shun"]
orthodoxy	["'or", "tho", "dok", "see"]
nonviolent	["non", "'vi", "o", "lent"]
stressor	["'stres", "sor"]
re-elect	["re", "i", "'lekt"]
purchasing	["'pur", "cha", "sing"]
broke	["broke"]
neutron	["'nu", "tron"]
minced	["minced"]
stairway	["'stair", "way"]
taking	["'ta", "king"]
fir	["fir"]
excavate	["'ex", "ca", "vate"]
intrude	["in", "'trood"]
metric	["'me", "tric"]
mapping	["'ma", "ping"]
holler	["'hol", "ler"]
hip-hop	["'hip", "hop"]
hearty	["'har", "tee"]
cerebral	["se", "'re", "bral"]
cornerback	["'cor", "ner", "back"]
retarded	["re", "'tar", "ded"]
three-day	["'three", "day"]
modernism	["'mo", "der", "niz", "um"]
crocodile	["'cro", "co", "dile"]
cider	["'ci", "der"]
symmetry	["'si", "me", "tree"]
earthly	["'erth", "lee"]
finalist	["'fi", "na", "list"]
innate	["i", "'nate"]
cost-effective	["cost", "e", "'fec", "tiv"]
